username,total_commits,total_additions,total_deletions,total_net_lines,repo_count,avg_additions_per_repo,avg_commits_per_repo,lines_per_commit
palfrey,0,0,0,0,1,0.0,0.0,
pjs990301,0,0,0,0,1,0.0,0.0,
palmjulia,0,0,0,0,1,0.0,0.0,
paperchae,0,0,0,0,1,0.0,0.0,
papyJuju,0,0,0,0,1,0.0,0.0,
piyushchauhan,0,0,0,0,1,0.0,0.0,
parisni,0,0,0,0,1,0.0,0.0,
phosseini,0,0,0,0,1,0.0,0.0,
philipdarke,0,0,0,0,1,0.0,0.0,
pat-jj,0,0,0,0,1,0.0,0.0,
qingyu-qc,0,0,0,0,1,0.0,0.0,
oliveregger,0,0,0,0,1,0.0,0.0,
prb112,0,0,0,0,1,0.0,0.0,
KaiHe-better,0,0,0,0,1,0.0,0.0,
Kai-Bailey,0,0,0,0,1,0.0,0.0,
KadenMc,0,0,0,0,1,0.0,0.0,
HealthInnovators,0,0,0,0,1,0.0,0.0,
qingyu-chen,0,0,0,0,1,0.0,0.0,
patrick-werner,0,0,0,0,3,0.0,0.0,
JohannesOehm,0,0,0,0,1,0.0,0.0,
JensVercruysse,0,0,0,0,1,0.0,0.0,
Healthedata1,0,0,0,0,2,0.0,0.0,
peterhessey,0,0,0,0,1,0.0,0.0,
peterMuriuki,0,0,0,0,1,0.0,0.0,
pengbao7598,0,0,0,0,1,0.0,0.0,
pbhallam,0,0,0,0,1,0.0,0.0,
paulaWesselmann,0,0,0,0,1,0.0,0.0,
JohnTimm,0,0,0,0,1,0.0,0.0,
MARYAMMEHDIZ,0,0,0,0,1,0.0,0.0,
LucasMontorio,0,0,0,0,1,0.0,0.0,
mithun008,0,0,0,0,2,0.0,0.0,
mintusah25,0,0,0,0,1,0.0,0.0,
minigrrl,0,0,0,0,1,0.0,0.0,
mingze-yuan,0,0,0,0,1,0.0,0.0,
mikkelfo,0,0,0,0,1,0.0,0.0,
mikix,0,0,0,0,4,0.0,0.0,
mikaelweave,0,0,0,0,2,0.0,0.0,
mihaitodor,0,0,0,0,1,0.0,0.0,
IgniteEndpointsBot,0,0,0,0,1,0.0,0.0,
mgramigna,0,0,0,0,1,0.0,0.0,
meirgottlieb,0,0,0,0,1,0.0,0.0,
mechanik-daniel,0,0,0,0,1,0.0,0.0,
mdnazmulkarim,0,0,0,0,2,0.0,0.0,
mchaabaoui,0,0,0,0,1,0.0,0.0,
muarachmann,0,0,0,0,1,0.0,0.0,
msvasavada,0,0,0,0,1,0.0,0.0,
msfyuksel,0,0,0,0,2,0.0,0.0,
mseckykoebel,0,0,0,0,1,0.0,0.0,
mrrajeshrai,0,0,0,0,1,0.0,0.0,
moria97,0,0,0,0,1,0.0,0.0,
microsoft-github-policy-service[bot],0,0,0,0,1,0.0,0.0,
llSourcell,0,0,0,0,1,0.0,0.0,
lizozom,0,0,0,0,1,0.0,0.0,
liux3138,0,0,0,0,1,0.0,0.0,
LorexYang,0,0,0,0,1,0.0,0.0,
Lorex,0,0,0,0,1,0.0,0.0,
LorenzE,3903,0,0,0,1,0.0,3903.0,0.0
markkramerus,0,0,0,0,1,0.0,0.0,
markiantorno,0,0,0,0,4,0.0,0.0,
